Game Turn, Player, Num Cities, Population, Techs, Civics, Land Units, corps, Armies, Naval Units, TILES: Owned, Improved, BALANCE: Gold, Faith, YIELDS: Science, Culture, Gold, Faith, Production, Food
1, CIVILIZATION_MEXICO_CITY, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0
1, CIVILIZATION_CARDIFF, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0
1, CIVILIZATION_PALENQUE, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0
1, CIVILIZATION_GRANADA, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0
1, CIVILIZATION_KANDY, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0
1, CIVILIZATION_BRUSSELS, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0
1, CIVILIZATION_VATICAN_CITY, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0
1, CIVILIZATION_VILNIUS, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0
1, CIVILIZATION_KABUL, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0
1, CIVILIZATION_SINGAPORE, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0
1, CIVILIZATION_NAZCA, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0
1, CIVILIZATION_LAHORE, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0
1, CIVILIZATION_FREE_CITIES, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, CIVILIZATION_GREECE, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0
1, CIVILIZATION_ENGLAND, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0
1, CIVILIZATION_AUSTRALIA, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0
1, CIVILIZATION_VIETNAM, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0
1, CIVILIZATION_JAPAN, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0
1, CIVILIZATION_SPAIN, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0
1, CIVILIZATION_CANADA, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0
1, CIVILIZATION_INCA, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0
2, CIVILIZATION_MEXICO_CITY, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 10, 0, 2, 1, 5, 0, 2, 2
2, CIVILIZATION_CARDIFF, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 10, 0, 2, 1, 5, 0, 2, 3
2, CIVILIZATION_PALENQUE, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 10, 0, 2, 2, 5, 0, 2, 4
2, CIVILIZATION_GRANADA, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 10, 1, 2, 1, 5, 1, 2, 3
2, CIVILIZATION_KANDY, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 10, 0, 2, 1, 5, 0, 3, 3
2, CIVILIZATION_BRUSSELS, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 10, 0, 2, 1, 5, 0, 2, 3
2, CIVILIZATION_VATICAN_CITY, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 10, 0, 2, 1, 5, 0, 3, 4
2, CIVILIZATION_VILNIUS, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 10, 0, 2, 1, 5, 0, 3, 4
2, CIVILIZATION_KABUL, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 10, 0, 2, 1, 5, 0, 3, 3
2, CIVILIZATION_SINGAPORE, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 10, 0, 2, 1, 5, 0, 3, 3
2, CIVILIZATION_NAZCA, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 10, 0, 2, 1, 5, 0, 2, 3
2, CIVILIZATION_LAHORE, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 10, 0, 2, 1, 5, 0, 2, 4
2, CIVILIZATION_FREE_CITIES, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2, CIVILIZATION_GREECE, 1, 1, 0, 0, 1, 0, 0, 0, 7, 0, 10, 0, 2, 1, 5, 0, 5, 4
2, CIVILIZATION_ENGLAND, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0
2, CIVILIZATION_AUSTRALIA, 1, 1, 0, 0, 1, 0, 0, 0, 7, 0, 10, 0, 2, 1, 5, 0, 5, 4
2, CIVILIZATION_VIETNAM, 1, 1, 0, 0, 1, 0, 0, 0, 7, 0, 13, 0, 2, 1, 8, 0, 5, 4
2, CIVILIZATION_JAPAN, 1, 1, 0, 0, 1, 0, 0, 0, 7, 0, 10, 0, 2, 1, 5, 0, 5, 5
2, CIVILIZATION_SPAIN, 1, 1, 0, 0, 1, 0, 0, 0, 7, 0, 10, 0, 2, 1, 5, 0, 5, 4
