Game Turn, Player, Num Cities, Population, Techs, Civics, Land Units, corps, Armies, Naval Units, TILES: Owned, Improved, BALANCE: Gold, Faith, YIELDS: Science, Culture, Gold, Faith, Production, Food
1, CIVILIZATION_FRANCE, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0
1, CIVILIZATION_GERMANY, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0
1, CIVILIZATION_NUBIA, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0
1, CIVILIZATION_NETHERLANDS, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0
1, CIVILIZATION_GREECE, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0
1, CIVILIZATION_AUSTRALIA, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0
1, CIVILIZATION_TARUGA, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0
1, CIVILIZATION_LAHORE, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0
1, CIVILIZATION_VILNIUS, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0
1, CIVILIZATION_AYUTTHAYA, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0
1, CIVILIZATION_CARDIFF, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0
1, CIVILIZATION_CAHOKIA, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0
1, CIVILIZATION_SINGAPORE, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0
1, CIVILIZATION_PRESLAV, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0
1, CIVILIZATION_ARMAGH, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0
1, CIVILIZATION_WOLIN, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0
1, CIVILIZATION_NAN_MADOL, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0
1, CIVILIZATION_BABYLON, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0
1, CIVILIZATION_FREE_CITIES, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, CIVILIZATION_JAPAN, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0
1, CIVILIZATION_SPAIN, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0
2, CIVILIZATION_SPAIN, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0
2, CIVILIZATION_FRANCE, 1, 1, 0, 0, 1, 0, 0, 0, 7, 0, 12, 0, 2, 1, 7, 0, 7, 4
2, CIVILIZATION_GERMANY, 1, 1, 0, 0, 1, 0, 0, 0, 7, 0, 11, 0, 2, 1, 6, 0, 7, 3
2, CIVILIZATION_NUBIA, 1, 1, 0, 0, 1, 0, 0, 0, 7, 0, 11, 0, 2, 1, 6, 0, 4, 5
2, CIVILIZATION_NETHERLANDS, 1, 1, 0, 0, 1, 0, 0, 0, 7, 0, 11, 0, 2, 1, 6, 0, 6, 4
2, CIVILIZATION_GREECE, 1, 1, 0, 0, 1, 0, 0, 0, 7, 0, 11, 0, 2, 1, 6, 0, 4, 5
2, CIVILIZATION_AUSTRALIA, 1, 1, 0, 0, 1, 0, 0, 0, 7, 0, 12, 0, 2, 1, 7, 0, 4, 5
2, CIVILIZATION_TARUGA, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 10, 0, 2, 1, 5, 0, 2, 4
2, CIVILIZATION_LAHORE, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 10, 0, 2, 1, 5, 0, 2, 4
2, CIVILIZATION_VILNIUS, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 11, 0, 2, 1, 6, 0, 1, 3
2, CIVILIZATION_AYUTTHAYA, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 10, 0, 2, 1, 5, 0, 2, 4
2, CIVILIZATION_CARDIFF, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 10, 0, 2, 1, 5, 0, 2, 5
2, CIVILIZATION_CAHOKIA, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 10, 0, 2, 1, 5, 0, 2, 4
2, CIVILIZATION_SINGAPORE, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 12, 0, 2, 1, 7, 0, 2, 3
2, CIVILIZATION_PRESLAV, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 10, 0, 2, 1, 5, 0, 2, 2
2, CIVILIZATION_ARMAGH, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 10, 0, 2, 2, 5, 0, 2, 3
2, CIVILIZATION_WOLIN, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 11, 0, 2, 1, 6, 0, 1, 4
2, CIVILIZATION_NAN_MADOL, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 10, 0, 2, 1, 5, 0, 3, 3
2, CIVILIZATION_BABYLON, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 10, 0, 2, 1, 5, 0, 2, 5
2, CIVILIZATION_FREE_CITIES, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2, CIVILIZATION_JAPAN, 1, 1, 0, 0, 1, 0, 0, 0, 7, 0, 10, 0, 2, 1, 5, 0, 5, 5
3, CIVILIZATION_SPAIN, 1, 1, 0, 0, 1, 0, 0, 0, 7, 0, 11, 0, 2, 1, 6, 0, 7, 3
3, CIVILIZATION_FRANCE, 1, 1, 0, 0, 1, 0, 0, 0, 7, 0, 19, 0, 2, 1, 7, 0, 7, 4
3, CIVILIZATION_GERMANY, 1, 1, 0, 0, 1, 0, 0, 0, 7, 0, 17, 0, 2, 1, 6, 0, 7, 3
3, CIVILIZATION_NUBIA, 1, 1, 0, 0, 1, 0, 0, 0, 7, 0, 17, 0, 2, 1, 6, 0, 4, 5
3, CIVILIZATION_NETHERLANDS, 1, 1, 0, 0, 1, 0, 0, 0, 7, 0, 17, 0, 2, 1, 6, 0, 6, 4
3, CIVILIZATION_GREECE, 1, 1, 0, 0, 1, 0, 0, 0, 7, 0, 17, 0, 2, 1, 6, 0, 4, 5
3, CIVILIZATION_AUSTRALIA, 1, 1, 0, 0, 1, 0, 0, 0, 7, 0, 19, 0, 2, 1, 7, 0, 4, 5
3, CIVILIZATION_TARUGA, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 15, 0, 2, 1, 5, 0, 2, 4
3, CIVILIZATION_LAHORE, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 15, 0, 2, 1, 5, 0, 2, 4
3, CIVILIZATION_VILNIUS, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 17, 0, 2, 1, 6, 0, 1, 3
3, CIVILIZATION_AYUTTHAYA, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 15, 0, 2, 1, 5, 0, 2, 4
3, CIVILIZATION_CARDIFF, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 15, 0, 2, 1, 5, 0, 2, 5
3, CIVILIZATION_CAHOKIA, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 15, 0, 2, 1, 5, 0, 2, 4
3, CIVILIZATION_SINGAPORE, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 19, 0, 2, 1, 7, 0, 2, 3
3, CIVILIZATION_PRESLAV, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 15, 0, 2, 1, 5, 0, 2, 2
3, CIVILIZATION_ARMAGH, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 15, 0, 2, 2, 5, 0, 2, 3
3, CIVILIZATION_WOLIN, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 17, 0, 2, 1, 6, 0, 1, 4
3, CIVILIZATION_NAN_MADOL, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 15, 0, 2, 1, 5, 0, 3, 3
3, CIVILIZATION_BABYLON, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 15, 0, 2, 1, 5, 0, 2, 5
3, CIVILIZATION_FREE_CITIES, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3, CIVILIZATION_JAPAN, 1, 1, 0, 0, 1, 0, 0, 0, 7, 0, 15, 0, 2, 1, 5, 0, 5, 5
4, CIVILIZATION_SPAIN, 1, 1, 0, 0, 1, 0, 0, 0, 7, 0, 17, 0, 2, 1, 6, 0, 7, 3
4, CIVILIZATION_FRANCE, 1, 1, 0, 0, 1, 0, 0, 0, 7, 0, 26, 0, 2, 1, 7, 0, 7, 4
4, CIVILIZATION_GERMANY, 1, 1, 0, 0, 1, 0, 0, 0, 7, 0, 23, 0, 2, 1, 6, 0, 7, 3
4, CIVILIZATION_NUBIA, 1, 1, 0, 0, 1, 0, 0, 0, 7, 0, 23, 0, 2, 1, 6, 0, 4, 5
4, CIVILIZATION_NETHERLANDS, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 23, 0, 2, 1, 6, 0, 6, 4
4, CIVILIZATION_GREECE, 1, 1, 0, 0, 1, 0, 0, 0, 7, 0, 23, 0, 2, 1, 6, 0, 4, 5
4, CIVILIZATION_AUSTRALIA, 1, 1, 0, 0, 1, 0, 0, 0, 7, 0, 26, 0, 2, 1, 7, 0, 4, 5
4, CIVILIZATION_TARUGA, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 20, 0, 2, 1, 5, 0, 2, 4
4, CIVILIZATION_LAHORE, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 20, 0, 2, 1, 5, 0, 2, 4
4, CIVILIZATION_VILNIUS, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 23, 0, 2, 1, 6, 0, 1, 3
4, CIVILIZATION_AYUTTHAYA, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 20, 0, 2, 1, 5, 0, 2, 4
4, CIVILIZATION_CARDIFF, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 20, 0, 2, 1, 5, 0, 2, 5
4, CIVILIZATION_CAHOKIA, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 20, 0, 2, 1, 5, 0, 2, 4
4, CIVILIZATION_SINGAPORE, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 26, 0, 2, 1, 7, 0, 2, 3
4, CIVILIZATION_PRESLAV, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 20, 0, 2, 1, 5, 0, 2, 2
4, CIVILIZATION_ARMAGH, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 20, 0, 2, 2, 5, 0, 2, 3
4, CIVILIZATION_WOLIN, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 23, 0, 2, 1, 6, 0, 1, 4
4, CIVILIZATION_NAN_MADOL, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 20, 0, 2, 1, 5, 0, 3, 3
4, CIVILIZATION_BABYLON, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 20, 0, 2, 1, 5, 0, 2, 5
4, CIVILIZATION_FREE_CITIES, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
4, CIVILIZATION_JAPAN, 1, 1, 0, 0, 1, 0, 0, 0, 7, 0, 20, 0, 2, 1, 5, 0, 5, 5
5, CIVILIZATION_SPAIN, 1, 1, 0, 0, 1, 0, 0, 0, 7, 0, 23, 0, 2, 1, 6, 0, 7, 3
5, CIVILIZATION_FRANCE, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 33, 0, 2, 1, 7, 0, 7, 4
5, CIVILIZATION_GERMANY, 1, 1, 0, 0, 1, 0, 0, 0, 7, 0, 29, 0, 2, 1, 6, 0, 7, 3
5, CIVILIZATION_NUBIA, 1, 2, 0, 0, 1, 0, 0, 0, 7, 0, 29, 0, 3, 1, 6, 0, 7, 7
5, CIVILIZATION_NETHERLANDS, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 29, 0, 2, 1, 6, 0, 6, 4
5, CIVILIZATION_GREECE, 1, 2, 0, 0, 1, 0, 0, 0, 7, 0, 29, 0, 3, 1, 6, 0, 7, 7
5, CIVILIZATION_AUSTRALIA, 1, 2, 0, 0, 1, 0, 0, 0, 7, 0, 36, 0, 3, 1, 9, 0, 6, 7
5, CIVILIZATION_TARUGA, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 25, 0, 2, 1, 5, 0, 2, 4
5, CIVILIZATION_LAHORE, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 25, 0, 2, 1, 5, 0, 2, 4
5, CIVILIZATION_VILNIUS, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 29, 0, 2, 1, 6, 0, 1, 3
5, CIVILIZATION_AYUTTHAYA, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 25, 0, 2, 1, 5, 0, 2, 4
5, CIVILIZATION_CARDIFF, 1, 2, 0, 0, 2, 0, 0, 0, 7, 0, 25, 0, 3, 1, 5, 0, 3, 7
5, CIVILIZATION_CAHOKIA, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 25, 0, 2, 1, 5, 0, 2, 4
5, CIVILIZATION_SINGAPORE, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 33, 0, 2, 1, 7, 0, 2, 3
5, CIVILIZATION_PRESLAV, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 25, 0, 2, 1, 5, 0, 2, 2
5, CIVILIZATION_ARMAGH, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 25, 0, 2, 2, 5, 0, 2, 3
5, CIVILIZATION_WOLIN, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 29, 0, 2, 1, 6, 0, 1, 4
5, CIVILIZATION_NAN_MADOL, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 25, 0, 2, 1, 5, 0, 3, 3
